Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,G,0,2,task,34.2831,3828.8671936758897,5.0
alex,G,0,2,out,,,5.0
alex,G,0,2,trans,,,5.0
alex,G,0,3,in,,,5.0
alex,G,0,3,task,29.2223,3690.998421052633,5.0
alex,G,0,3,out,,,5.0
alex,G,0,3,trans,,,5.0
alex,G,0,4,in,,,5.0
alex,G,0,4,task,21.7894,3652.9009523809527,5.0
alex,G,0,4,out,,,5.0
alex,G,0,4,trans,,,5.0
alex,G,0,5,in,,,5.0
alex,G,0,5,task,55.8653,4174.365313508998,5.0
alex,G,0,5,out,,,5.0
alex,G,0,5,trans,,,5.0
alex,G,0,6,in,,,5.0
alex,G,0,6,task,24.1463,4122.40100490196,5.0
alex,G,0,6,out,,,5.0
alex,G,0,6,trans,,,5.0
alex,G,0,7,in,,,5.0
alex,G,0,7,task,16.6615,3529.0253030303047,5.0
alex,G,0,7,out,0.6014,,5.0
alex,G,0,7,trans,,,5.0
alex,G,0,0,in,14.023,4086.3584890109896,6.0
alex,G,0,0,task,42.2674,4029.5111111111137,6.0
alex,G,0,0,out,,,6.0
alex,G,0,0,trans,0.0,,6.0
alex,G,0,1,in,,,6.0
alex,G,0,1,task,79.4808,3902.158295625943,6.0
alex,G,0,1,out,,,6.0
alex,G,0,1,trans,,,6.0
alex,G,0,2,in,,,6.0
alex,G,0,2,task,34.3263,3866.4415207980414,6.0
alex,G,0,2,out,,,6.0
alex,G,0,2,trans,,,6.0
alex,G,0,3,in,,,6.0
alex,G,0,3,task,29.274,3739.2142105263147,6.0
alex,G,0,3,out,,,6.0
alex,G,0,3,trans,,,6.0
alex,G,0,4,in,,,6.0
alex,G,0,4,task,21.784,3711.29761904762,6.0
alex,G,0,4,out,,,6.0
alex,G,0,4,trans,,,6.0
alex,G,0,5,in,,,6.0
alex,G,0,5,task,55.7905,4205.943436857912,6.0
alex,G,0,5,out,,,6.0
alex,G,0,5,trans,,,6.0
alex,G,0,6,in,,,6.0
alex,G,0,6,task,24.1442,4170.206446078432,6.0
alex,G,0,6,out,,,6.0
alex,G,0,6,trans,,,6.0
alex,G,0,7,in,,,6.0
alex,G,0,7,task,16.6757,3562.660909090908,6.0
alex,G,0,7,out,0.5701,,6.0
alex,G,0,7,trans,,,6.0
alex,G,0,0,in,12.5069,4397.836496836499,7.0
alex,G,0,0,task,42.2588,4119.591005291005,7.0
alex,G,0,0,out,,,7.0
alex,G,0,0,trans,0.0,,7.0
alex,G,0,1,in,,,7.0
alex,G,0,1,task,79.4702,3984.9854449472086,7.0
alex,G,0,1,out,,,7.0
alex,G,0,1,trans,,,7.0
alex,G,0,2,in,,,7.0
alex,G,0,2,task,34.2922,3956.960276679841,7.0
alex,G,0,2,out,,,7.0
alex,G,0,2,trans,,,7.0
alex,G,0,3,in,,,7.0
alex,G,0,3,task,29.2193,3843.8989766081863,7.0
alex,G,0,3,out,,,7.0
alex,G,0,3,trans,,,7.0
alex,G,0,4,in,,,7.0
alex,G,0,4,task,21.7119,3808.363333333334,7.0
alex,G,0,4,out,,,7.0
alex,G,0,4,trans,,,7.0
alex,G,0,5,in,,,7.0
alex,G,0,5,task,55.8083,4300.714178218465,7.0
alex,G,0,5,out,,,7.0
alex,G,0,5,trans,,,7.0
alex,G,0,6,in,,,7.0
alex,G,0,6,task,24.1104,4230.452843137255,7.0
alex,G,0,6,out,,,7.0
